Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Large Ownership,DK Small Ownership,DKSlateID,DK Floor,DK Ceiling
Puka Nacua,LA,MIN,WR,7600,22.9,4.8,37,48.7,37242725,9.9,38.8
Bucky Irving,TB,WAS,RB,7000,20.5,3.6,40.9,55.5,37242597,8.4,35.2
Justin Jefferson,MIN,@LA,WR,8100,21.9,2.9,21.8,24,37242719,8.9,37.2
Mike Evans,TB,WAS,WR,7900,20.7,2.1,11.5,8.9,37242721,8,36.1
Aaron Jones Sr.,MIN,@LA,RB,6000,16.3,1.4,31.9,42.7,37242603,6.2,29.6
Josh Allen,BUF,DEN,QB,8200,26.5,1.3,12.4,12.2,37242545,14.7,39.3
Mark Andrews,BAL,PIT,TE,4700,13.3,1,17.3,19.9,37242951,4.4,24.7
Saquon Barkley,PHI,GB,RB,8500,20.7,0.9,16.1,14.1,37242587,8.3,35.6
Sam Darnold,MIN,@LA,QB,6500,20.9,0.8,13.9,15.2,37242550,11.2,31.5
Joe Mixon,HOU,LAC,RB,7200,17.9,0.7,24.1,21.8,37242595,8.1,30.8
T.J. Hockenson,MIN,@LA,TE,4200,11.9,0.6,26.9,28.7,37242957,4.2,21.8
Ravens ,BAL,PIT,DST,3700,8.9,0.6,13.5,13.4,37243083,2.8,16.4
Chargers ,LAC,@HOU,DST,3200,7.9,0.6,14.2,18.4,37243086,1.9,15.3
Nico Collins,HOU,LAC,WR,7800,19,0.5,15.8,16.4,37242723,7.4,33.3
Ladd McConkey,LAC,@HOU,WR,6800,16.6,0.1,16,15.9,37242729,6.1,30.1
Justin Herbert,LAC,@HOU,QB,6000,18.6,0,9.9,10.6,37242552,9.8,28.6
Jayden Daniels,WAS,@TB,QB,7500,23.1,0,12.5,16,37242547,12.4,35.2
Dalton Schultz,HOU,LAC,TE,3600,10.1,-0.1,24.2,32.2,37242967,3.2,18.7
Kyren Williams,LA,MIN,RB,7400,17.5,-0.1,19.7,18.1,37242593,6.7,31
C.J. Stroud,HOU,LAC,QB,5500,16.9,-0.2,9.4,10.4,37242555,8.6,26.3
Buccaneers ,TB,WAS,DST,3100,6.9,-0.2,9,6.9,37243087,0.9,14.2
Derrick Henry,BAL,PIT,RB,8200,18.9,-0.3,12.4,9.4,37242589,6.5,34.1
Terry McLaurin,WAS,@TB,WR,6500,15.6,-0.3,13.7,13.1,37242733,5.5,29.1
Bills ,BUF,DEN,DST,3500,7.6,-0.3,7.1,6.3,37243084,1.7,15
Rams ,LA,MIN,DST,2900,6.5,-0.3,10.8,14.2,37243089,0.6,13.7
Khalil Shakir,BUF,DEN,WR,5300,13.1,-0.4,23.8,29.2,37242749,4.5,24.7
A.J. Brown,PHI,GB,WR,7500,17.5,-0.4,11.7,7.5,37242727,6.3,31.6
Jalen Hurts,PHI,GB,QB,7300,22,-0.5,8.7,8.1,37242548,11.7,34.5
DeVonta Smith,PHI,GB,WR,5700,13.8,-0.5,19.2,23.2,37242743,4.6,25.8
Baker Mayfield,TB,WAS,QB,6800,20.5,-0.5,8.5,10,37242549,11,31
Texans ,HOU,LAC,DST,2700,5.9,-0.5,9.9,11.5,37243091,0.3,12.7
Josh Jacobs,GB,@PHI,RB,7700,17.6,-0.6,11.9,10.2,37242591,7,30.9
Jordan Addison,MIN,@LA,WR,6100,14.5,-0.6,15.1,14.7,37242739,4.7,27.3
Jalen McMillan,TB,WAS,WR,5200,12.7,-0.6,15.5,15.2,37242751,3.8,25.3
Isaiah Likely,BAL,PIT,TE,3200,8.6,-0.7,20.9,26.1,37242973,2.2,16.9
Will Dissly,LAC,@HOU,TE,3400,9,-0.7,18.6,20.5,37242969,2.7,16.8
Eagles ,PHI,GB,DST,3300,6.8,-0.8,4.2,4.4,37243085,1.1,13.9
Dalton Kincaid,BUF,DEN,TE,4000,10,-0.9,11.7,9,37242961,3.1,18.9
Matthew Stafford,LA,MIN,QB,5700,16.8,-0.9,9.2,8.6,37242554,8.4,26.3
Packers ,GB,@PHI,DST,2600,5.3,-0.9,10.6,8.2,37243092,-0.2,11.9
Vikings ,MIN,@LA,DST,3000,6,-0.9,4.6,2.1,37243088,0.4,13
Steelers ,PIT,@BAL,DST,2200,4.3,-1,9,11.5,37243094,-0.9,10.8
Zach Ertz,WAS,@TB,TE,4300,10.3,-1.2,14.3,12.5,37242955,3.2,19.2
Quentin Johnston,LAC,@HOU,WR,4800,11.2,-1.3,21.5,26,37242759,3.2,22.1
Commanders ,WAS,@TB,DST,2800,5.3,-1.3,3.3,1.4,37243090,-0.4,12.1
Bo Nix,DEN,@BUF,QB,6300,18,-1.4,4.1,2.3,37242551,9.3,27.9
Courtland Sutton,DEN,@BUF,WR,6600,14.6,-1.5,10,7.4,37242731,4.9,27.1
Dallas Goedert,PHI,GB,TE,3900,9.3,-1.5,6.4,5.1,37242963,2.7,17.6
Pat Freiermuth,PIT,@BAL,TE,4400,10.2,-1.5,9.1,5.9,37242953,3.4,18.5
Broncos ,DEN,@BUF,DST,2400,4.2,-1.6,3.8,1.8,37243093,-1.2,10.9
Rashod Bateman,BAL,PIT,WR,5000,11.2,-1.7,9.4,7.6,37242755,2.8,22.6
Russell Wilson,PIT,@BAL,QB,5300,14.7,-1.8,2.4,1.2,37242556,7.2,23.5
Lamar Jackson,BAL,PIT,QB,8000,22.8,-1.9,7.1,4.8,37242546,12.1,35.6
James Cook,BUF,DEN,RB,6700,14.4,-1.9,9.9,5.2,37242599,4.7,27.7
Tucker Kraft,GB,@PHI,TE,3700,8.2,-2.1,15.5,15.9,37242965,2.2,15.7
J.K. Dobbins,LAC,@HOU,RB,6200,13,-2.3,10.3,8.2,37242601,4.3,24.8
Sterling Shepard,TB,WAS,WR,3300,7.3,-2.3,7.3,8,37242805,1.5,15.6
Olamide Zaccheaus,WAS,@TB,WR,4400,9.5,-2.3,12.9,11.1,37242767,2.5,19.3
Dontayvion Wicks,GB,@PHI,WR,4500,9.3,-2.6,6.2,4.3,37242765,2.3,18.7
Cooper Kupp,LA,MIN,WR,6400,13.1,-2.6,5.5,3.3,37242735,4.6,24.4
Najee Harris,PIT,@BAL,RB,5000,10.3,-2.6,8,5.8,37242613,3.2,20.2
Jaleel McLaughlin,DEN,@BUF,RB,4900,9.7,-3,2.8,0.8,37242617,2.8,19.5
Marvin Mims Jr.,DEN,@BUF,WR,5100,10.1,-3,4.9,1.3,37242753,2.9,20
George Pickens,PIT,@BAL,WR,6300,12.5,-3,1.8,0.3,37242737,3.8,24.1
Jordan Love,GB,@PHI,QB,5800,14.9,-3.1,1.9,0.6,37242553,7.2,23.7
Romeo Doubs,GB,@PHI,WR,5400,10.6,-3.1,2.1,1.6,37242747,2.9,20.6
Tyler Higbee,LA,MIN,TE,3300,6.4,-3.1,6.6,4.3,37242971,1.4,12.9
Austin Ekeler,WAS,@TB,RB,4800,9.4,-3.1,9.4,7.8,37242621,2.6,19.2
