firstName,lastName,slotName,teamName
Marvin,Harrison Jr.,WR,Arizona Cardinals
Trey,McBride,TE,Arizona Cardinals
Kyler,Murray,QB,Arizona Cardinals
James,Conner,RB,Arizona Cardinals
Trey,Benson,RB,Arizona Cardinals
Michael,Wilson,WR,Arizona Cardinals
Zay,Jones,WR,Arizona Cardinals
Greg,Dortch,WR,Arizona Cardinals
Elijah,Higgins,TE,Arizona Cardinals
Michael,Carter,RB,Arizona Cardinals
Xavier,Weaver,WR,Arizona Cardinals
Emari,Demercado,RB,Arizona Cardinals
Chris,Moore,WR,Arizona Cardinals
Tip,Reiman,TE,Arizona Cardinals
Tejhaun,Palmer,WR,Arizona Cardinals
Zach,Pascal,WR,Arizona Cardinals
Desmond,Ridder,QB,Arizona Cardinals
Clayton,Tune,QB,Arizona Cardinals
DeeJay,Dallas,RB,Arizona Cardinals
Tony,Jones Jr.,RB,Arizona Cardinals
Daniel,Arias,WR,Arizona Cardinals
Andre,Baccellia,WR,Arizona Cardinals
Kaden,Davis,WR,Arizona Cardinals
Bernhard,Seikovits,TE,Arizona Cardinals
Marlon,Mack,RB,Arizona Cardinals
Jeff,Smith,WR,Arizona Cardinals
Geoff,Swaim,TE,Arizona Cardinals
Travis,Vokolek,TE,Arizona Cardinals
Dan,Chisena,WR,Arizona Cardinals
Blake,Whiteheart,TE,Arizona Cardinals
Bijan,Robinson,RB,Atlanta Falcons
Drake,London,WR,Atlanta Falcons
Kyle,Pitts,TE,Atlanta Falcons
Kirk,Cousins,QB,Atlanta Falcons
Darnell,Mooney,WR,Atlanta Falcons
Tyler,Allgeier,RB,Atlanta Falcons
Rondale,Moore,WR,Atlanta Falcons
Michael,Penix Jr.,QB,Atlanta Falcons
Casey,Washington,WR,Atlanta Falcons
Jase,McClellan,RB,Atlanta Falcons
Ray-Ray,McCloud III,WR,Atlanta Falcons
Taylor,Heinicke,QB,Atlanta Falcons
Scott,Miller,WR,Atlanta Falcons
Josh,Ali,WR,Atlanta Falcons
Chris,Blair,WR,Atlanta Falcons
Parker,Hesse,TE,Atlanta Falcons
Feleipe,Franks,TE,Atlanta Falcons
John,FitzPatrick,TE,Atlanta Falcons
Tucker,Fisk,TE,Atlanta Falcons
Robert,Burns,RB,Atlanta Falcons
Isaiah,Wooden,WR,Atlanta Falcons
Keith,Smith,RB,Atlanta Falcons
Avery,Williams,RB,Atlanta Falcons
Carlos,Washington,RB,Atlanta Falcons
Charlie,Woerner,TE,Atlanta Falcons
KhaDarel,Hodge,WR,Atlanta Falcons
JaQuae,Jackson,WR,Atlanta Falcons
Austin,Mack,WR,Atlanta Falcons
Frank,Darby,WR,Atlanta Falcons
Derrick,Henry,RB,Baltimore Ravens
Zay,Flowers,WR,Baltimore Ravens
Lamar,Jackson,QB,Baltimore Ravens
Mark,Andrews,TE,Baltimore Ravens
Rashod,Bateman,WR,Baltimore Ravens
Isaiah,Likely,TE,Baltimore Ravens
Keaton,Mitchell,RB,Baltimore Ravens
Devontez,Walker,WR,Baltimore Ravens
Rasheen,Ali,RB,Baltimore Ravens
Justice,Hill,RB,Baltimore Ravens
